=== T5: SR-3 DOWNGRADE SET — NOT-FOUND nodes ===
std                  node                                     claimed  ->pdf  provenance
DIN-14071-1          section-din14071-03.md                       20     24  VA
DIN-276              section-din-05.md                             4      4  NR
DIN-EN-ISO-14044     cr-14044-01.md                               15     19  VA
DWA-A-102-2          eq-21b-arafs63.md                       49 (transcription); compute capped EV     51  EV
DWA-A-131            cr-a131-017.md                               24     26  NR
DWA-A-131            section-a131-01.md                            9     11  VA
DWA-A-131            section-a131-06.md                           39     41  VA
DWA-A-138-1          cr-a138-req-10.md                            30     32  VA
DWA-A-138-1          dp-04-anhang-worked-example.md               85     87  VC
DWA-A-138-1          eq-gl2-a138-07.md                            30     32  VA
DWA-A-138-1          eq-gl2c-a138-07.md                           30     32  VA
DWA-A-138-1          eq-gl2d-a138-07.md                           30     32  VA
DWA-A-138-1          eq-gl2e-a138-07.md                           30     32  VA
DWA-A-138-1          eq-gl2f-a138-07.md                           30     32  VA
DWA-A-138-1          eq-gl2g-a138-07.md                           30     32  VA
DWA-A-138-1          section-a138-04.md                           37     39  VA
DWA-A-138-1          section-a138-14.md                           48     50  VA
DWA-A-138-1          tab-05.md                                    26     28  VA
DWA-A-138-1          tab-13.md                                    44     46  VA
DWA-A-178            cr-a178-req-02.md                             4      6  VA
DWA-A-178            cr-a178-req-28.md                            20     22  VA
DWA-A-222            section-a222-02.md                           10     11  VA
DWA-A-262E           cr-req-33.md                                 11     13  VA
DWA-A-262E           cr-req-34.md                                 11     13  VA
DWA-A-262E           cr-req-35.md                                 11     13  VA
DWA-A-262E           cr-req-36.md                                 11     13  VA
DWA-A-262E           section-a262-02.md                            4      6  VA
DWA-A-262E           section-a262-07.md                           44     46  VA
DWA-M-1200-1         section-m12001-12.md                         99     99  VC
DWA-M-1200-1         section-m12001-13.md                         99     99  VC
DWA-M-1200-1         section-m12001-14.md                        100    100  VC
DWA-M-1200-1         section-m12001-18.md                        102    102  VC
DWA-M-1200-1         section-m12001-19.md                         61     61  VC
DWA-M-1200-1         section-m12001-20.md                         67     67  VC
DWA-M-1200-1         tab-m12001-10-zustaendigkeiten.md            61     61  VC
DWA-M-1200-1         tab-m12001-27-ueberwachung.md                99     99  VC
DWA-M-1200-2         cr-m12002-03-req02.md                        19     19  EV
DWA-M-1200-2         section-m12002-02.md                         16     16  VC
DWA-M-1200-2         section-m12002-25.md                         49     49  EV
DWA-M-1200-3         cr-m12003-01-cr12.md                         25     25  VC
DWA-M-1200-3         cr-m12003-01-cr16.md                         25     25  VC
DWA-M-1200-3         cr-m12003-05-cr06.md                         36     36  VC
DWA-M-1200-3         cr-m12003-07-cr12.md                         25     25  VA
DWA-M-1200-3         cr-m12003-07-cr16.md                         25     25  VC
DWA-M-1200-3         cr-m12003-08-cr06.md                         36     36  VC
DWA-M-1200-3         cr-m12003-08-cr13.md                         25     25  EV
DWA-M-1200-3         eq-m12003-helper1-speichervolumen.md         45     45  VC
DWA-M-1200-3         eq-m12003-helper2-dauer-durchgang.md         45     45  VC
DWA-M-1200-3         eq-m12003-helper3-dauer-befuellung.md        45     45  VC
DWA-M-1200-3         section-m12003-03.md                         25     25  VC
DWA-M-1200-3         section-m12003-06.md                         10     10  VC
DWA-M-1200-3         section-m12003-08.md                         25     25  VC
DWA-M-1200-3         section-m12003-09.md                         25     25  EV
DWA-M-1200-3         section-m12003-15.md                         25     25  EV
DWA-M-1200-3         section-m12003-19.md                         10     10  VC
DWA-M-1200-3         section-m12003-21.md                         25     25  EV
DWA-M-1200-3         section-m12003-23.md                         25     25  EV
DWA-M-1200-3         section-m12003-24.md                         25     25  EV
DWA-M-1200-3         tab-m12003-03-storageclass.md                36     36  VC
DWA-M-1200-3         tab-m12003-05-storageexample.md              45     45  VC
DWA-M-1200-3         tab-m12003-15-exposure.md                    25     25  EV
DWA-M-179-1          section-m179-03.md                           22     22  VA
DWA-M-187            doc-dwa-a-178.md                             10     10  VC
DWA-M-229-1          cr-014-ruehrabstand.md                       12     13  VC
DWA-M-229-1          cr-021-energiekosten.md                      12     13  VC
DWA-M-229-1          cr-026-abnahme.md                            12     13  NR
DWA-M-229-1          eq-11-beta-alpha.md                          36     37  NR
DWA-M-229-1          eq-17-ovhmin.md                              18     19  NR
DWA-M-229-1          eq-26-patm.md                                12     13  VC
DWA-M-229-1          section-m2291-03.md                          10     11  VA
DWA-M-229-1          section-m2291-05.md                          12     13  VC
DWA-M-229-1          section-m2291-06.md                          12     13  VC
DWA-M-229-2          cr-o2-thresholds.md                          38     40  VA
DWA-M-277E           cr-m277e-req-07.md                           28     30  VA
DWA-M-349            cr-004.md                                     7      9  VC
DWA-M-349            cr-005.md                                    17     19  VC
DWA-M-349            section-m349-02.md                           38     40  VA
DWA-M-349            section-m349-05.md                           31     33  VA
DWA-M-349            section-m349-07.md                           51     53  VC
DWA-M-363            section-m363-22.md                           42     44  VA
DWA-M-363            section-m363-23.md                           46     48  VA
DWA-M-381E           dp-381-eta-hand-entered.md                    7      7  VA
DWA-M-708            cr-req-708-07.md                             10     10  VA
DWA-M-708            cr-req-708-08.md                             55     55  VC
DWA-M-708            cr-req-708-10.md                             55     55  VC
DWA-M-708            cr-req-708-11.md                             23     23  VC
DWA-M-708            section-m708-03.md                           44     44  VC
DWA-M-708            section-m708-04.md                            8      8  VA
DWA-M-708            section-m708-09.md                           30     30  VA
DWA-M-708            section-m708-10.md                           66     66  EV
DWA-M-708            section-m708-11.md                           10     10  VA
DWA-M-708            section-m708-26.md                           90     90  NR
DWA-M-708            section-m708-27.md                           95     95  EV
DWA-M-760            eq-m760-03-ffett.md                          33     35  VA
DWA-M-816            cr-m816-req-04.md                            17     19  VC
DWA-M-816            cr-m816-req-06.md                           100    102  EV
DWA-M-816            cr-m816-req-16.md                            40     42  EV
DWA-M-816            cr-m816-req-22.md                            51     53  EV
DWA-M-816            cr-m816-req-23.md                            22     24  EV
DWA-M-816            cr-m816-req-24.md                            64     66  EV
DWA-M-816            section-m816-03.md                           17     19  VC
DWA-M-816            section-m816-19.md                           33     35  VC
DWA-M-820-1          cr-req-08.md                                 34     36  VC
DWA-M-820-1          cr-req-11.md                                 58     60  VC
DWA-M-820-1          cr-req-26.md                                 50     52  VC
DWA-M-820-1          section-M820-14.md                           63     65  VA
DWA-M-820-2          bild-1-stakeholders.md                       31     33  VC
DWA-M-820-3          section-8203-15.md                           15     17  VA
FLL-GAR-2023         cr-gar-req-05.md                              4      6  VA
FLL-GAR-2023         cr-gar-req-06.md                              4      6  VA
FLL-GAR-2023         cr-gar-req-10.md                              4      6  VA
FLL-GAR-2023         cr-gar-req-11.md                              4      6  VA
FLL-GAR-2023         cr-gar-req-12.md                              4      6  NR
FLL-GAR-2023         cr-gar-req-14.md                              4      6  NR
FLL-GAR-2023         cr-gar-req-15.md                              4      6  NR
FLL-GAR-2023         cr-gar-req-18.md                              4      6  NR
FLL-GAR-2023         cr-gar-req-22.md                              4      6  NR
FLL-GAR-2023         cr-gar-req-27.md                              4      6  VA
FLL-GAR-2023         cr-gar-req-29.md                              4      6  VA
FLL-GAR-2023         dp-gar-12-beton-gate.md                       4      6  VA
FLL-GAR-2023         dp-gar-13-asphalt-gate.md                     4      6  VA
FLL-GAR-2023         dp-gar-19-soll-modal.md                       4      6  VA
FLL-GAR-2023         section-gar-03.md                             4      6  VA
FLL-GAR-2023         section-gar-06.md                             7      9  VA
FLL-GAR-2023         section-gar-12.md                             4      6  VA
FLL-GAR-2023         section-gar-14.md                             4      6  VA
FLL-GAR-2023         section-gar-24.md                             4      6  VA
FLL-GAR-2023         section-gar-25.md                             4      6  VA
FLL-GAR-2023         section-gar-26.md                             4      6  VA
FLL-GAR-2023         section-gar-28.md                             4      6  VA
FLL-GAR-2023         tab-gar-03-mineral.md                         4      6  VA
FLL-GAR-2023         tab-gar-06-beton.md                           4      6  VA
FLL-GAR-2023         tab-gar-12-asphalt.md                         4      6  VA
FLL-GAR-2023         tab-gar-13-gtd.md                             4      6  VA
FLL-GAR-2023         tab-gar-24-pehd.md                            4      6  VA
FLL-GAR-2023         tab-gar-28-edge.md                            4      6  VA
FLL-Naturteich-2017  cr-fllnt-req-22.md                           82     85  VA
FLL-Naturteich-2017  eq-fllnt-10-eq02.md                          82     85  VA
FLL-Naturteich-2017  section-fllnt-01.md                           8     11  VA
FLL-Naturteich-2017  section-fllnt-03.md                           8     11  VA
ISO-14004            dp-iso14004-guidance-normativity.md          22     26  VA
ISO-14046            cr-iso14046-req01.md                         10     20  VA
ISO-14046            cr-iso14046-req02.md                          8     18  VC
ISO-14046            cr-iso14046-req05.md                         13     23  VC
ISO-14046            cr-iso14046-req09.md                         16     26  VC
ISO-14046            cr-iso14046-req13.md                         10     20  VA
ISO-14046            cr-iso14046-req14.md                         24     34  VC
ISO-14046            cr-iso14046-req15.md                         24     34  VC
ISO-14046            cr-iso14046-req16.md                         27     37  VC
ISO-14046            cr-iso14046-req17.md                         28     38  VC
ISO-14046            cr-iso14046-req18.md                         29     39  VC
ISO-14046            cr-iso14046-req21.md                          1     11  VC
ISO-14046            section-iso14046-01.md                       10     20  VA
ISO-14046            section-iso14046-05.md                       27     37  VC
ISO-14046            section-iso14046-06.md                       28     38  VC
ISO-14064-1          cr-1064-015.md                               31     35  VA
ISO-14064-1          eq-1064-qcat.md                              29     33  VA
ISO-14064-2          cr-1642-12.md                                34     38  VC
ISO-14064-2          section-iso1642-03.md                        32     36  VA
ISO-14064-2          section-iso1642-05.md                        33     37  VA
ISO-14097            cr-iso14097-cr-001.md                         3      3  VA
ISO-14097            dp-iso14097-scoping-vs-published.md           4      4  VA
ISO-14097            fld-iso14097-user_type.md                     3      3  VA
VDI-2163             section-vdi2163-02.md                         8      8  EV
VDI-2163             section-vdi2163-04.md                        16     16  EV
VDI-2163             section-vdi2163-05.md                        18     18  EV
VDI-3477             dp-vdi-cr17-deadgate.md                      34     34  NR
VDI-3477             dp-vdi-misc-rulings.md                       10     10  VC
VDI-3477             section-vdi-02.md                             7      7  VA
VDI-3477             section-vdi-07.md                            15     15  VA
VDI-3477             section-vdi-09.md                            65     65  VC
VSME                 eq-vsme-01.md                                10     11  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-02.md                                12     13  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-03.md                                 9     10  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-04.md                                12     13  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-05.md                                 9     10  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-06.md                                10     11  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-07.md                                10     11  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-08.md                                10     11  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-09.md                                10     11  VC  [PAGE-OUT-OF-RANGE]
VSME                 eq-vsme-10.md                                13     14  VC  [PAGE-OUT-OF-RANGE]
VSME                 section-b01_000.md                            8      9  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b01_100.md                            8      9  VC  [PAGE-OUT-OF-RANGE]
VSME                 section-b01_200.md                            8      9  VC  [PAGE-OUT-OF-RANGE]
VSME                 section-b03_000.md                            9     10  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b03_100.md                            9     10  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b03_200.md                            9     10  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b03_300.md                            9     10  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b04_000.md                            9     10  VC  [PAGE-OUT-OF-RANGE]
VSME                 section-b05_000.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b06_000.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b07_000.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b07_100.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b07_200.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b08_000.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b08_100.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b08_300.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b09_000.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b10_000.md                           10     11  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-b11_000.md                           11     12  VA  [PAGE-OUT-OF-RANGE]
VSME                 section-c03_300.md                           13     14  VC  [PAGE-OUT-OF-RANGE]
VSME                 section-c09_000.md                           14     15  VA  [PAGE-OUT-OF-RANGE]
TOTAL NOT-FOUND = 202  (of which provenance VA = 98)

